,age,population
0,0,57149
1,1,58270
2,2,61171
3,3,63794
4,4,62850
5,5,62884
6,6,63686
7,7,63064
8,8,63813
9,9,60516
10,10,59983
11,11,60746
12,12,62046
13,13,64863
14,14,68075
15,15,68828
16,16,71265
17,17,69589
18,18,71230
19,19,71376
20,20,73545
21,21,74012
22,22,74966
23,23,77571
24,24,78988
25,25,79478
26,26,79476
27,27,82713
28,28,81947
29,29,85512
30,30,83185
31,31,83091
32,32,82888
33,33,80829
34,34,80277
35,35,78035
36,36,75358
37,37,72966
38,38,71733
39,39,69566
40,40,67477
41,41,66359
42,42,66870
43,43,67229
44,44,70658
45,45,71085
46,46,72944
47,47,71663
48,48,76268
49,49,79908
50,50,78325
51,51,78283
52,52,81904
53,53,78802
54,54,75791
55,55,75882
56,56,78919
57,57,84923
58,58,87160
59,59,84254
60,60,81626
61,61,78283
62,62,74974
63,63,71733
64,64,70493
65,65,68052
66,66,66857
67,67,65726
68,68,65102
69,69,63120
70,70,61161
71,71,61821
72,72,58099
73,73,56760
74,74,57662
75,75,56443
76,76,57587
77,77,59989
78,78,59086
79,79,53857
80,80,48586
81,81,42485
82,82,37894
83,83,31805
84,84,29190
85,85,25719
86,86,23005
87,87,19625
88,88,16442
89,89,13675
90,90,10961
91,91,8837
92,92,7003
93,93,5593
94,94,4197
95,95,3244
96,96,2372
97,97,1663
98,98,1194
99,99,775
