"Kvinder";"2024";"dest";"orig";"0...5";"0...6";"0...7";"0...8";"0...9";"0...10";"0...11";"0...12";"0...13";"0...14"
"Kvinder";2024;"Til København";"Fra Frederiksberg";106;167;248;233;256;225;247;232;172;176
"Kvinder";2024;"Til København";"Fra Dragør";10;18;18;2;4;3;9;4;1;4
"Kvinder";2024;"Til København";"Fra Tårnby";22;47;40;30;29;24;14;20;12;10
"Kvinder";2024;"Til København";"Fra Albertslund";9;28;19;20;20;22;10;7;6;5
"Kvinder";2024;"Til København";"Fra Ballerup";38;43;37;27;18;22;12;11;15;11
"Kvinder";2024;"Til København";"Fra Brøndby";21;29;37;35;19;14;18;21;18;15
"Kvinder";2024;"Til København";"Fra Gentofte";80;136;90;62;49;45;54;37;28;31
"Kvinder";2024;"Til København";"Fra Gladsaxe";49;88;68;67;48;47;39;38;28;26
"Kvinder";2024;"Til København";"Fra Glostrup";10;17;11;14;12;6;8;10;13;6
"Kvinder";2024;"Til København";"Fra Herlev";18;14;22;18;20;14;13;8;5;3
"Kvinder";2024;"Til København";"Fra Hvidovre";31;54;61;52;37;37;20;24;26;19
"Kvinder";2024;"Til København";"Fra Høje-Taastrup";24;42;34;27;12;21;23;13;13;13
"Kvinder";2024;"Til København";"Fra Ishøj";6;18;24;4;15;9;5;6;3;7
"Kvinder";2024;"Til København";"Fra Lyngby-Taarbæk";37;62;58;64;68;49;38;39;24;18
"Kvinder";2024;"Til København";"Fra Rødovre";29;41;43;34;25;16;29;17;28;13
"Kvinder";2024;"Til København";"Fra Vallensbæk";12;21;7;13;16;9;11;2;5;3
"Kvinder";2024;"Til København";"Fra Allerød";14;28;21;11;9;3;6;6;1;4
"Kvinder";2024;"Til København";"Fra Egedal";30;64;32;12;13;8;6;4;3;2
"Kvinder";2024;"Til København";"Fra Fredensborg";26;48;35;15;15;10;10;5;8;9
"Kvinder";2024;"Til København";"Fra Frederikssund";25;28;25;17;11;14;7;4;5;4
"Kvinder";2024;"Til København";"Fra Furesø";30;49;36;15;15;9;6;7;9;8
"Kvinder";2024;"Til København";"Fra Gribskov";17;30;19;13;9;8;7;8;6;5
"Kvinder";2024;"Til København";"Fra Halsnæs";9;13;13;14;3;7;8;3;6;3
"Kvinder";2024;"Til København";"Fra Helsingør";42;69;34;30;15;16;8;16;9;8
"Kvinder";2024;"Til København";"Fra Hillerød";28;49;44;32;15;21;13;10;15;9
"Kvinder";2024;"Til København";"Fra Hørsholm";30;36;15;11;13;8;7;7;5;3
"Kvinder";2024;"Til København";"Fra Rudersdal";58;72;55;27;30;19;16;9;5;9
"Kvinder";2024;"Til København";"Fra Bornholm";18;24;11;5;6;1;2;5;3;8
"Kvinder";2024;"Til København";"Fra Christiansø";0;0;0;0;0;0;0;0;0;0
"Kvinder";2024;"Til København";"Fra Greve";36;34;35;19;16;13;10;14;10;3
"Kvinder";2024;"Til København";"Fra Køge";30;38;39;15;21;7;9;6;13;8
"Kvinder";2024;"Til København";"Fra Lejre";20;24;21;13;12;6;6;7;6;2
"Kvinder";2024;"Til København";"Fra Roskilde";45;100;86;61;36;34;30;16;15;13
"Kvinder";2024;"Til København";"Fra Solrød";21;20;18;6;6;2;1;4;3;0
"Kvinder";2024;"Til København";"Fra Faxe";16;15;16;9;6;5;3;3;4;4
"Kvinder";2024;"Til København";"Fra Guldborgsund";22;30;21;10;7;5;4;4;2;4
"Kvinder";2024;"Til København";"Fra Holbæk";24;52;30;15;14;7;10;9;11;7
"Kvinder";2024;"Til København";"Fra Kalundborg";19;19;17;9;11;15;4;7;0;4
"Kvinder";2024;"Til København";"Fra Lolland";7;11;11;5;4;5;5;6;0;1
"Kvinder";2024;"Til København";"Fra Næstved";34;39;36;26;12;14;14;9;11;8
"Kvinder";2024;"Til København";"Fra Odsherred";6;16;3;2;3;2;3;1;4;0
"Kvinder";2024;"Til København";"Fra Ringsted";16;17;13;12;5;6;8;13;6;4
"Kvinder";2024;"Til København";"Fra Slagelse";17;23;33;19;11;7;13;9;5;6
"Kvinder";2024;"Til København";"Fra Sorø";13;16;14;7;8;7;3;2;3;1
