"Mænd";"2024";"dest";"orig";"0...5";"0...6";"0...7";"0...8";"0...9";"0...10";"0...11";"0...12";"0...13";"0...14"
"Mænd";2024;"Til København";"Fra Frederiksberg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Dragør";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Tårnby";0;0;0;1;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Albertslund";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Ballerup";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Brøndby";1;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Gentofte";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Gladsaxe";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Glostrup";0;0;0;0;0;1;0;0;0;0
"Mænd";2024;"Til København";"Fra Herlev";0;0;0;1;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Hvidovre";0;1;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Høje-Taastrup";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Ishøj";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Lyngby-Taarbæk";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Rødovre";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Vallensbæk";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Allerød";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Egedal";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Fredensborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Frederikssund";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Furesø";1;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Gribskov";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Halsnæs";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Helsingør";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Hillerød";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Hørsholm";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Rudersdal";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Bornholm";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Christiansø";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Greve";0;0;0;1;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Køge";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Lejre";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Roskilde";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Solrød";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Faxe";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Guldborgsund";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Holbæk";0;0;0;1;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Kalundborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Lolland";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Næstved";1;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Odsherred";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Ringsted";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Slagelse";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Sorø";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Stevns";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Vordingborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Assens";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Faaborg-Midtfyn";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Kerteminde";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Langeland";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Middelfart";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Nordfyns";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Nyborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Odense";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Svendborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Ærø";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Billund";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Esbjerg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Fanø";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Fredericia";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Haderslev";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Kolding";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Sønderborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Tønder";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Varde";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Vejen";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Vejle";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Aabenraa";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Favrskov";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Hedensted";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Horsens";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Norddjurs";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Odder";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Randers";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Samsø";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Silkeborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Skanderborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Syddjurs";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Aarhus";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Herning";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Holstebro";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Ikast-Brande";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Lemvig";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Ringkøbing-Skjern";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Skive";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Struer";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Viborg";0;0;0;0;0;1;0;0;0;0
"Mænd";2024;"Til København";"Fra Brønderslev";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Frederikshavn";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Hjørring";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Jammerbugt";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Læsø";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Mariagerfjord";0;0;0;1;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Morsø";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Rebild";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Thisted";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Vesthimmerlands";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til København";"Fra Aalborg";0;0;0;0;0;1;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra København";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Frederiksberg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Dragør";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Tårnby";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Albertslund";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Ballerup";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Brøndby";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Gentofte";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Gladsaxe";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Glostrup";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Herlev";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Hvidovre";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Høje-Taastrup";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Ishøj";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Lyngby-Taarbæk";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Rødovre";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Vallensbæk";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Allerød";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Egedal";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Fredensborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Frederikssund";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Furesø";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Gribskov";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Halsnæs";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Helsingør";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Hillerød";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Hørsholm";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Rudersdal";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Bornholm";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Christiansø";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Greve";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Køge";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Lejre";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Roskilde";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Solrød";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Faxe";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Guldborgsund";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Holbæk";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Kalundborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Lolland";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Næstved";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Odsherred";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Ringsted";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Slagelse";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Sorø";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Stevns";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Vordingborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Assens";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Faaborg-Midtfyn";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Kerteminde";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Langeland";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Middelfart";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Nordfyns";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Nyborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Odense";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Svendborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Ærø";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Billund";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Esbjerg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Fanø";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Fredericia";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Haderslev";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Kolding";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Sønderborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Tønder";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Varde";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Vejen";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Vejle";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Aabenraa";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Favrskov";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Hedensted";0;0;0;1;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Horsens";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Norddjurs";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Odder";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Randers";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Samsø";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Silkeborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Skanderborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Syddjurs";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Aarhus";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Herning";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Holstebro";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Ikast-Brande";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Lemvig";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Ringkøbing-Skjern";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Skive";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Struer";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Viborg";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Brønderslev";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Frederikshavn";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Hjørring";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Jammerbugt";0;0;0;0;0;0;0;0;0;0
"Mænd";2024;"Til Frederiksberg";"Fra Læsø";0;0;0;0;0;0;0;0;0;0
